WKT,nama,deskripsi
"POLYGON ((106.8298241 -6.1744073, 106.8296739 -6.173554, 106.8290945 -6.1730206, 106.8292233 -6.1719753, 106.8289014 -6.1714846, 106.8235584 -6.1714633, 106.823258 -6.1716126, 106.8229576 -6.1798686, 106.8233439 -6.1802952, 106.8308111 -6.1801032, 106.8309399 -6.1796339, 106.8302961 -6.1787806, 106.8305751 -6.1784606, 106.8298026 -6.1776073, 106.8298241 -6.1744073))",Taman Monas,
"POLYGON ((106.889948 -6.3018112, 106.88983 -6.3018219, 106.88983 -6.3021525, 106.8899104 -6.3021365, 106.890522 -6.3021418, 106.8905113 -6.3020618, 106.8906132 -6.3020618, 106.8906078 -6.3019925, 106.8905005 -6.3019872, 106.8904952 -6.3018965, 106.8903718 -6.3019125, 106.8903557 -6.3018219, 106.889948 -6.3018112))",taman mini indonesia indah,
