WKT,nama,deskripsi
"POLYGON ((106.8528846 -6.2347691, 106.8527344 -6.2337878, 106.8524769 -6.2334039, 106.8520906 -6.2334679, 106.8517473 -6.2334679, 106.8514254 -6.2335105, 106.8511894 -6.2332759, 106.850653 -6.2333186, 106.8507173 -6.2337452, 106.8508032 -6.2344278, 106.8513611 -6.2348117, 106.8522408 -6.2353663, 106.8525627 -6.2357716, 106.85267 -6.2363689, 106.8520906 -6.238182, 106.8517044 -6.2396964, 106.8518546 -6.2399311, 106.852391 -6.2414669, 106.8526914 -6.2421708, 106.8534425 -6.2419361, 106.8537214 -6.2417868, 106.853421 -6.2412962, 106.8530991 -6.2406563, 106.8529489 -6.2400377, 106.8530562 -6.2392912, 106.8532923 -6.2386299, 106.8534425 -6.2378407, 106.8536785 -6.2369235, 106.8534639 -6.2353663, 106.8532279 -6.2346624, 106.8528846 -6.2347691))",tebet echo park,
"POLYGON ((106.7609104 -6.2497057, 106.7691501 -6.2804202, 106.7890628 -6.2927055, 106.8288883 -6.2954356, 106.8714603 -6.308403, 106.8824466 -6.307038, 106.9188388 -6.3118154, 106.9600376 -6.290658, 106.9566043 -6.2456103, 106.9497379 -6.2087502, 106.9401249 -6.1534553, 106.9222721 -6.1083959, 106.8899997 -6.1077132, 106.893433 -6.1329742, 106.8577274 -6.1213679, 106.8261417 -6.1316088, 106.806229 -6.1316088, 106.7821964 -6.1288779, 106.7712101 -6.1193197, 106.7334446 -6.1179543, 106.730698 -6.1425322, 106.7272647 -6.1732529, 106.7341312 -6.196463, 106.7430576 -6.2114807, 106.7526706 -6.2258154, 106.7609104 -6.2497057))",jakarta,
